geocode,value
E06000001,38.0
E06000002,37.0
E06000003,40.0
E06000004,38.0
E06000005,39.0
E06000006,38.0
E06000007,38.0
E06000008,35.0
E06000009,40.0
E06000010,36.0
E06000011,42.0
E06000012,39.0
E06000013,39.0
E06000014,38.0
E06000015,36.0
E06000016,34.0
E06000017,41.0
E06000018,34.0
E06000019,41.0
E06000020,37.0
E06000021,37.0
E06000022,39.0
E06000023,35.0
E06000024,41.0
E06000025,38.0
E06000026,38.0
E06000027,42.0
E06000028,39.0
E06000029,40.0
E06000030,37.0
E06000031,36.0
E06000032,34.0
E06000033,39.0
E06000034,36.0
E06000035,36.0
E06000036,36.0
E06000037,38.0
E06000038,34.0
E06000039,32.0
E06000040,38.0
E06000041,38.0
E06000042,35.0
E06000043,36.0
E06000044,35.0
E06000045,35.0
E06000046,43.0
E06000047,40.0
E06000049,40.0
E06000050,40.0
E06000051,41.0
E06000052,42.0
E06000053,43.0
E06000054,39.0
E06000055,38.0
E06000056,38.0
E06000057,41.0
E07000004,38.0
E07000005,40.0
E07000006,40.0
E07000007,37.0
E07000008,35.0
E07000009,39.0
E07000010,41.0
E07000011,38.0
E07000012,39.0
E07000026,42.0
E07000027,40.0
E07000028,40.0
E07000029,41.0
E07000030,42.0
E07000031,44.0
E07000032,40.0
E07000033,39.0
E07000034,40.0
E07000035,43.0
E07000036,39.0
E07000037,39.0
E07000038,42.0
E07000039,38.0
E07000040,45.0
E07000041,37.0
E07000042,41.0
E07000043,42.0
E07000044,44.0
E07000045,43.0
E07000046,43.0
E07000047,43.0
E07000048,45.0
E07000049,45.0
E07000050,41.0
E07000051,43.0
E07000052,44.0
E07000053,41.0
E07000061,41.0
E07000062,39.0
E07000063,42.0
E07000064,45.0
E07000065,42.0
E07000066,38.0
E07000067,38.0
E07000068,40.0
E07000069,42.0
E07000070,39.0
E07000071,38.0
E07000072,39.0
E07000073,37.0
E07000074,41.0
E07000075,41.0
E07000076,44.0
E07000077,39.0
E07000078,38.0
E07000079,42.0
E07000080,41.0
E07000081,37.0
E07000082,41.0
E07000083,41.0
E07000084,37.0
E07000085,40.0
E07000086,39.0
E07000087,41.0
E07000088,38.0
E07000089,38.0
E07000090,41.0
E07000091,43.0
E07000092,35.0
E07000093,40.0
E07000094,39.0
E07000095,38.0
E07000096,38.0
E07000098,38.0
E07000099,39.0
E07000102,38.0
E07000103,35.0
E07000105,38.0
E07000106,39.0
E07000107,36.0
E07000108,41.0
E07000109,37.0
E07000110,39.0
E07000111,40.0
E07000112,41.0
E07000113,38.0
E07000114,40.0
E07000115,38.0
E07000116,38.0
E07000117,38.0
E07000118,39.0
E07000119,43.0
E07000120,37.0
E07000121,39.0
E07000122,38.0
