geocode,value
E14000530,21.0
E14000533,23.0
E14000535,22.0
E14000536,22.0
E14000538,21.0
E14000539,21.0
E14000540,19.0
E14000541,22.0
E14000545,21.0
E14000546,23.0
E14000547,22.0
E14000549,20.0
E14000550,23.0
E14000551,23.0
E14000559,22.0
E14000569,23.0
E14000570,20.0
E14000573,23.0
E14000574,23.0
E14000575,23.0
E14000577,23.0
E14000578,22.0
E14000579,21.0
E14000580,22.0
E14000581,22.0
E14000583,23.0
E14000584,22.0
E14000585,22.0
E14000588,21.0
E14000589,19.0
E14000590,22.0
E14000592,20.0
E14000599,21.0
E14000600,22.0
E14000601,21.0
E14000602,19.0
E14000605,23.0
E14000606,22.0
E14000607,23.0
E14000608,23.0
E14000609,22.0
E14000610,22.0
E14000611,22.0
E14000612,22.0
E14000613,23.0
E14000614,23.0
E14000617,20.0
E14000619,22.0
E14000620,23.0
E14000622,24.0
E14000627,23.0
E14000630,22.0
E14000632,23.0
E14000633,24.0
E14000636,21.0
E14000637,22.0
E14000638,26.0
E14000645,22.0
E14000646,24.0
E14000647,23.0
E14000648,22.0
E14000649,20.0
E14000650,21.0
E14000652,21.0
E14000654,20.0
E14000656,22.0
E14000658,22.0
E14000659,21.0
E14000660,23.0
E14000662,21.0
E14000663,20.0
E14000665,22.0
E14000666,21.0
E14000667,23.0
E14000668,22.0
E14000669,22.0
E14000670,23.0
E14000675,20.0
E14000677,22.0
E14000680,23.0
E14000681,23.0
E14000684,24.0
E14000685,22.0
E14000686,23.0
E14000687,19.0
E14000690,21.0
E14000691,20.0
E14000693,22.0
E14000695,22.0
E14000698,21.0
E14000699,23.0
E14000706,24.0
E14000710,23.0
E14000712,21.0
E14000713,23.0
E14000715,22.0
E14000716,22.0
E14000717,23.0
E14000719,22.0
E14000723,21.0
E14000725,22.0
E14000728,23.0
E14000729,22.0
E14000731,21.0
E14000732,20.0
E14000733,22.0
E14000736,23.0
E14000738,23.0
E14000740,23.0
E14000742,23.0
E14000745,22.0
E14000746,24.0
E14000748,23.0
E14000753,22.0
E14000755,22.0
E14000756,21.0
E14000757,22.0
E14000758,22.0
E14000759,21.0
E14000760,19.0
E14000761,21.0
E14000762,24.0
E14000763,20.0
E14000765,23.0
E14000766,22.0
E14000769,22.0
E14000771,22.0
E14000772,20.0
E14000774,22.0
E14000777,19.0
E14000778,21.0
E14000779,22.0
E14000780,21.0
E14000781,21.0
E14000782,21.0
E14000783,19.0
E14000784,20.0
E14000785,22.0
E14000786,24.0
E14000787,20.0
E14000792,21.0
E14000797,21.0
E14000799,25.0
E14000801,19.0
E14000802,23.0
E14000805,22.0
E14000810,22.0
E14000812,22.0
E14000813,22.0
E14000816,24.0
E14000817,22.0
E14000818,24.0
E14000819,21.0
E14000824,23.0
E14000829,23.0
E14000830,22.0
E14000831,20.0
E14000833,23.0
E14000837,24.0
E14000838,24.0
E14000839,24.0
E14000840,23.0
E14000842,23.0
E14000843,24.0
E14000848,26.0
E14000849,23.0
E14000852,23.0
E14000854,23.0
E14000856,23.0
E14000857,22.0
E14000858,23.0
E14000859,24.0
E14000860,23.0
E14000861,21.0
E14000862,21.0
E14000863,23.0
E14000864,21.0
E14000865,19.0
E14000866,20.0
E14000867,20.0
E14000868,22.0
E14000872,23.0
E14000873,19.0
E14000875,22.0
E14000878,21.0
E14000881,23.0
E14000883,21.0
E14000884,20.0
E14000885,20.0
E14000886,22.0
E14000887,20.0
E14000889,20.0
E14000890,21.0
E14000891,23.0
E14000893,22.0
E14000894,23.0
E14000897,21.0
E14000900,22.0
E14000903,23.0
E14000904,22.0
E14000908,23.0
E14000910,23.0
E14000912,23.0
E14000915,23.0
E14000918,23.0
E14000924,23.0
E14000925,23.0
E14000930,19.0
E14000931,23.0
E14000935,22.0
E14000936,24.0
E14000937,22.0
E14000938,24.0
E14000941,24.0
E14000943,23.0
E14000944,23.0
E14000945,24.0
E14000946,24.0
E14000948,23.0
E14000949,22.0
E14000951,22.0
E14000952,23.0
E14000953,23.0
E14000957,23.0
E14000958,24.0
E14000959,22.0
E14000960,21.0
E14000962,23.0
E14000964,24.0
E14000965,23.0
E14000966,24.0
E14000968,21.0
E14000969,21.0
E14000970,22.0
E14000971,22.0
E14000978,19.0
E14000980,23.0
E14000981,25.0
E14000985,23.0
E14000987,24.0
E14000995,20.0
E14000998,19.0
E14000999,24.0
E14001002,19.0
E14001004,22.0
E14001005,21.0
E14001006,23.0
E14001008,19.0
E14001009,22.0
E14001010,22.0
E14001011,21.0
E14001012,21.0
E14001013,19.0
E14001014,23.0
E14001015,22.0
E14001017,22.0
E14001018,22.0
E14001021,21.0
E14001022,24.0
E14001023,23.0
E14001025,22.0
E14001026,24.0
E14001027,21.0
E14001029,21.0
E14001030,21.0
E14001031,25.0
E14001033,23.0
E14001039,22.0
E14001040,21.0
E14001041,23.0
E14001043,24.0
E14001044,24.0
E14001046,23.0
E14001047,21.0
E14001048,21.0
E14001049,21.0
E14001050,21.0
E14001051,22.0
E14001052,21.0
E14001053,24.0
E14001056,21.0
E14001058,23.0
E14001060,23.0
W07000042,23.0
W07000044,22.0
W07000045,23.0
W07000046,23.0
W07000047,22.0
W07000048,22.0
W07000049,23.0
W07000050,20.0
W07000051,22.0
W07000052,23.0
W07000053,22.0
W07000054,24.0
W07000055,22.0
W07000056,22.0
W07000069,23.0
W07000070,22.0
W07000072,22.0
W07000073,23.0
W07000074,22.0
W07000075,22.0
W07000076,22.0
W07000077,22.0
W07000078,22.0
W07000079,21.0
