geocode,value
E14000530,19.61
E14000531,17.48
E14000532,18.71
E14000533,7.05
E14000534,1.51
E14000535,9.46
E14000536,2.24
E14000537,31.43
E14000538,5.82
E14000539,2.54
E14000540,59.89
E14000541,17.12
E14000542,10.29
E14000543,3.16
E14000544,14.89
E14000545,18.25
E14000546,2.16
E14000547,30.99
E14000548,19.73
E14000549,103.77
E14000550,5.64
E14000551,25.23
E14000552,29.78
E14000553,121.4
E14000554,0.32
E14000555,136.8
E14000556,1.28
E14000557,1.91
E14000558,40.64
E14000559,35.29
E14000560,34.66
E14000561,44.51
E14000562,59.38
E14000563,58.96
E14000564,49.0
E14000565,40.81
E14000566,43.46
E14000567,46.79
E14000568,47.5
E14000569,0.95
E14000570,26.59
E14000571,39.7
E14000572,36.27
E14000573,40.18
E14000574,8.06
E14000575,11.68
E14000576,16.12
E14000577,4.17
E14000578,26.19
E14000579,27.01
E14000580,13.47
E14000581,38.54
E14000582,1.45
E14000583,3.4
E14000584,40.54
E14000585,36.52
E14000586,14.18
E14000587,45.34
E14000588,23.18
E14000589,31.82
E14000590,2.09
E14000591,75.15
E14000592,61.79
E14000593,49.03
E14000594,2.94
E14000595,0.99
E14000596,1.36
E14000597,23.09
E14000598,35.71
E14000599,40.22
E14000600,22.87
E14000601,43.69
E14000602,72.3
E14000603,1.25
E14000604,30.12
E14000605,4.32
E14000606,14.78
E14000607,14.44
E14000608,1.12
E14000609,7.86
E14000610,4.22
E14000611,17.17
E14000612,20.09
E14000613,2.26
E14000614,3.34
E14000615,109.92
E14000616,3.06
E14000617,31.71
E14000618,12.36
E14000619,4.4
E14000620,4.08
E14000621,37.39
E14000622,19.53
E14000623,0.63
E14000624,1.24
E14000625,5.52
E14000626,15.83
E14000627,23.07
E14000628,24.87
E14000629,127.65
E14000630,28.15
E14000631,4.72
E14000632,19.69
E14000633,1.68
E14000634,46.22
E14000635,5.75
E14000636,32.37
E14000637,6.12
E14000638,7.67
E14000639,67.08
E14000640,6.97
E14000641,5.06
E14000642,6.46
E14000643,2.83
E14000644,23.81
E14000645,6.07
E14000646,4.36
E14000647,0.69
E14000648,1.99
E14000649,40.0
E14000650,26.32
E14000651,32.3
