geocode,value
E14000530,2.52
E14000531,3.71
E14000532,9.37
E14000533,4.52
E14000534,9.08
E14000535,5.4
E14000536,15.54
E14000537,1.74
E14000538,5.46
E14000539,8.98
E14000540,16.14
E14000541,3.97
E14000542,9.37
E14000543,-2.88
E14000544,6.44
E14000545,14.36
E14000546,4.97
E14000547,5.79
E14000548,7.65
E14000549,21.7
E14000550,6.4
E14000551,6.56
E14000552,2.68
E14000553,16.99
E14000554,7.14
E14000555,23.8
E14000556,4.71
E14000557,6.99
E14000558,5.34
E14000559,5.89
E14000560,7.4
E14000561,8.21
E14000562,5.74
E14000563,13.28
E14000564,34.43
E14000565,3.33
E14000566,6.18
E14000567,7.28
E14000568,6.65
E14000569,2.58
E14000570,7.35
E14000571,29.5
E14000572,1.31
E14000573,-1.04
E14000574,2.66
E14000575,1.12
E14000576,5.39
E14000577,5.09
E14000578,5.95
E14000579,7.93
E14000580,4.35
E14000581,-4.91
E14000582,10.7
E14000583,5.23
E14000584,12.4
E14000585,10.55
E14000586,1.6
E14000587,12.85
E14000588,11.01
E14000589,17.63
E14000590,12.14
E14000591,20.05
E14000592,16.0
E14000593,22.04
E14000594,6.71
E14000595,5.08
E14000596,9.86
E14000597,8.17
E14000598,13.64
E14000599,6.79
E14000600,4.63
E14000601,7.91
E14000602,30.62
E14000603,5.98
E14000604,5.83
E14000605,6.6
E14000606,7.1
E14000607,2.6
E14000608,3.46
E14000609,-2.77
E14000610,9.96
E14000611,3.51
E14000612,1.55
E14000613,13.26
E14000614,5.74
E14000615,19.41
E14000616,8.97
E14000617,13.85
E14000618,5.79
E14000619,12.19
E14000620,6.87
E14000621,4.62
E14000622,1.62
E14000623,8.43
E14000624,11.2
E14000625,5.64
E14000626,6.29
E14000627,-0.23
E14000628,9.59
E14000629,6.31
E14000630,6.21
E14000631,3.82
E14000632,5.07
E14000633,7.24
E14000634,9.2
E14000635,9.51
E14000636,8.09
E14000637,6.75
E14000638,5.53
E14000639,15.36
E14000640,4.8
E14000641,7.6
E14000642,-0.88
E14000643,3.91
E14000644,14.64
E14000645,9.35
E14000646,1.44
E14000647,1.86
E14000648,13.29
E14000649,3.91
E14000650,3.15
E14000651,9.17
E14000652,6.87
E14000653,10.01
E14000654,6.88
E14000655,13.92
E14000656,8.13
E14000657,7.03
E14000658,6.51
E14000659,12.44
E14000660,6.57
E14000661,-0.46
E14000662,11.28
