geocode,value
E06000001,9.8
E06000002,25.69
E06000003,5.52
E06000004,9.4
E06000005,5.35
E06000006,15.9
E06000007,11.19
E06000008,10.76
E06000009,40.73
E06000010,35.89
E06000011,1.39
E06000012,8.32
E06000013,1.98
E06000014,7.28
E06000015,31.88
E06000016,44.99
E06000017,0.98
E06000018,40.97
E06000019,0.84
E06000020,5.74
E06000021,26.65
E06000022,5.09
E06000023,39.07
E06000024,5.42
E06000025,5.29
E06000026,32.11
E06000027,20.83
E06000028,39.73
E06000029,22.8
E06000030,9.09
E06000031,5.35
E06000032,46.87
E06000033,41.59
E06000034,9.65
E06000035,13.74
E06000036,10.35
E06000037,2.18
E06000038,38.54
E06000039,43.09
E06000040,7.36
E06000041,8.63
E06000042,8.06
E06000043,33.07
E06000044,50.74
E06000045,47.48
E06000046,3.64
E06000047,2.31
E06000049,3.17
E06000050,3.6
E06000051,0.96
E06000052,1.5
E06000053,1.35
E06000054,1.45
E06000055,3.31
E06000056,3.55
E06000057,0.63
E07000004,1.93
E07000005,4.72
E07000006,4.73
E07000007,5.29
E07000008,30.43
E07000009,1.29
E07000010,1.74
E07000011,1.87
E07000012,1.65
E07000026,0.78
E07000027,8.86
E07000028,1.03
E07000029,0.96
E07000030,0.25
E07000031,0.68
E07000032,4.61
E07000033,4.73
E07000034,15.72
E07000035,0.9
E07000036,10.22
E07000037,1.69
E07000038,3.59
E07000039,2.8
E07000040,1.63
E07000041,25.04
E07000042,0.85
E07000043,0.86
E07000044,0.94
E07000045,1.84
E07000046,0.65
E07000047,0.46
E07000048,9.48
E07000049,2.46
E07000050,1.13
E07000051,1.11
E07000052,0.92
E07000053,15.61
E07000061,22.51
E07000062,30.36
E07000063,3.34
E07000064,1.78
E07000065,1.79
E07000066,15.86
E07000067,2.4
E07000068,4.81
E07000069,19.53
E07000070,4.97
E07000071,5.26
E07000072,3.68
E07000073,26.83
E07000074,1.72
E07000075,4.91
E07000076,4.09
E07000077,1.24
E07000078,24.83
E07000079,0.71
E07000080,1.56
E07000081,30.02
E07000082,2.45
E07000083,1.98
E07000084,2.65
E07000085,2.25
E07000086,15.69
E07000087,15.03
E07000088,32.63
E07000089,4.23
E07000090,21.8
E07000091,2.34
E07000092,24.03
E07000093,1.85
E07000094,1.76
E07000095,18.2
E07000096,6.82
E07000098,9.89
E07000099,3.39
E07000102,9.83
E07000103,42.15
E07000105,2.03
E07000106,4.89
E07000107,13.38
E07000108,3.55
E07000109,10.27
E07000110,3.94
E07000111,3.11
E07000112,3.03
E07000113,3.64
E07000114,12.99
E07000115,5.03
E07000116,3.47
E07000117,7.86
