geocode,value
E06000001,3.86
E06000002,2.64
E06000003,-2.84
E06000004,7.4
E06000005,7.9
E06000006,6.38
E06000007,5.83
E06000008,7.29
E06000009,-0.15
E06000010,5.26
E06000011,6.39
E06000012,1.04
E06000013,9.55
E06000014,9.36
E06000015,12.2
E06000016,17.83
E06000017,8.12
E06000018,14.49
E06000019,4.92
E06000020,5.25
E06000021,3.48
E06000022,4.13
E06000023,12.51
E06000024,7.43
E06000025,6.97
E06000026,6.51
E06000027,0.97
E06000028,12.27
E06000029,6.77
E06000030,16.16
E06000031,17.67
E06000032,10.21
E06000033,8.36
E06000034,10.18
E06000035,5.79
E06000036,3.27
E06000037,6.46
E06000038,8.81
E06000039,17.75
E06000040,8.18
E06000041,2.76
E06000042,20.17
E06000043,10.31
E06000044,9.83
E06000045,8.94
E06000046,4.17
E06000047,4.01
E06000049,5.2
E06000050,2.37
E06000051,8.11
E06000052,6.64
E06000053,2.32
E06000054,8.78
E06000055,6.47
E06000056,8.87
E06000057,2.88
E07000004,5.06
E07000005,3.82
E07000006,7.95
E07000007,5.88
E07000008,13.78
E07000009,14.48
E07000010,14.06
E07000011,8.0
E07000012,14.33
E07000026,3.13
E07000027,-4.02
E07000028,6.74
E07000029,1.85
E07000030,5.6
E07000031,1.33
E07000032,5.01
E07000033,5.71
E07000034,5.0
E07000035,2.37
E07000036,1.8
E07000037,1.63
E07000038,2.15
E07000039,16.0
E07000040,5.53
E07000041,6.03
E07000042,11.43
E07000043,7.04
E07000044,1.58
E07000045,2.7
E07000046,8.27
E07000047,9.64
E07000048,6.43
E07000049,4.03
E07000050,10.79
E07000051,1.25
E07000052,7.48
E07000053,2.39
E07000061,10.87
E07000062,6.14
E07000063,5.78
E07000064,6.04
E07000065,6.35
E07000066,5.33
E07000067,11.28
E07000068,7.52
E07000069,1.62
E07000070,7.15
E07000071,11.09
E07000072,3.11
E07000073,4.03
E07000074,3.72
E07000075,6.11
E07000076,-0.35
E07000077,15.22
E07000078,5.2
E07000079,3.12
E07000080,2.47
E07000081,10.74
E07000082,4.52
E07000083,7.25
E07000084,9.98
E07000085,5.8
E07000086,7.77
E07000087,3.34
E07000088,8.12
E07000089,9.02
E07000090,3.28
E07000091,4.21
E07000092,3.1
E07000093,6.01
E07000094,8.74
E07000095,7.53
E07000096,5.11
E07000098,5.91
